country,state,stateSlug,city,slug,timezone,intro,bestViewingAreas,localSafetyUrl
US,MO,mo,Kansas City,kansas-city,America/Chicago,"Kansas City's Independence Day fireworks center on Berkley Riverfront Park and Kauffman Stadium, with Royals home games featuring postgame shows during the holiday week.","Berkley Riverfront Park | Kauffman Stadium (ticketed Royals game) | Liberty Memorial Mall",https://www.kcmo.gov/city-hall/departments/fire-department
US,NC,nc,Charlotte,charlotte,America/New_York,Charlotte's Uptown SkyShow combines Truist Field celebrations with downtown rooftop and First Ward Park viewing.,"Truist Field (Charlotte Knights stadium) | First Ward Park | Romare Bearden Park | Uptown rooftop bars (capacity-limited)",https://www.charlottenc.gov/CFD
US,NC,nc,Raleigh,raleigh,America/New_York,The Works Independence Day celebration in Raleigh combines Dorothea Dix Park and downtown rooftop viewing with capital-square family programming.,"Dorothea Dix Park | North Carolina State Capitol lawn | Glenwood South rooftop bars (capacity-limited)",https://raleighnc.gov/fire
US,NV,nv,Las Vegas,las-vegas,America/Los_Angeles,"Las Vegas combines resort-managed Strip pyrotechnics (Caesars, MGM, The STRAT) with the city-led Downtown rooftop show, all on or around the Las Vegas Strip and Fremont Street.","Las Vegas Strip overpasses (Flamingo / Tropicana pedestrian bridges) | Downtown Container Park rooftop areas | Fremont Street Experience | Stratosphere SkyPod sightlines",https://www.lasvegasnevada.gov/Residents/Public-Safety
US,NV,nv,Reno,reno,America/Los_Angeles,Reno's official Fourth of July event launches from the Truckee River corridor with downtown and West Street public viewing.,"Truckee River Walk | Wingfield Park | West Street Market District",https://www.reno.gov/government/departments/fire-department
US,NY,ny,New York City,new-york-city,America/New_York,New York City combines verified public city announcements with transit-based access planning for July and New Year displays.,"Hudson River Waterfront | Central Park | Times area family sections",https://www1.nyc.gov/
US,NY,ny,Albany,albany,America/New_York,Albany hosts city-supported regional displays with crowd guidance and transit links.,"Riverside Public Park | Downtown Civic Plaza",https://www.albanyny.gov/
US,OR,or,Portland,portland,America/Los_Angeles,Portland's Waterfront Blues Festival and the city's July 4 Waterfront Park show share the Tom McCall Waterfront corridor on the Willamette River.,"Tom McCall Waterfront Park | Salmon Street Springs Plaza | Hawthorne Bridge pedestrian walkway | OMSI lawn (east side)",https://www.portland.gov/fire
US,PA,pa,Philadelphia,philadelphia,America/New_York,"Philadelphia's Wawa Welcome America route planning depends on the Parkway footprint, SEPTA service, and city event updates.","Benjamin Franklin Parkway | Eakins Oval vicinity | Official festival viewing areas",https://july4thphilly.com/
US,SC,sc,North Myrtle Beach,north-myrtle-beach,America/New_York,"North Myrtle Beach's official July Fourth page is useful for shoreline access, legal parking, and safe beach exits.","Cherry Grove Pier | Public beach access points | Signed shoreline viewing areas",https://parks.nmb.us/
US,TN,tn,Nashville,nashville,America/Chicago,"Nashville's Let Freedom Sing! Independence Day celebration is the largest free fireworks display in Tennessee, launching over the Cumberland River with downtown stage programming.","Nissan Stadium parking lots (east bank) | Riverfront Park (west bank, capacity-managed) | Korean Veterans Boulevard Bridge | Cumberland Park",https://www.nashville.gov/departments/fire
US,TN,tn,Memphis,memphis,America/Chicago,Memphis's Star Spangled Celebration at Tom Lee Park hosts the city's main Independence Day fireworks over the Mississippi River.,"Tom Lee Park | Bluff overlooks at Riverside Drive | Mud Island River Park",https://www.memphistn.gov/government/fire/
US,TX,tx,Houston,houston,America/Chicago,Houston city channels support multiple July 4th public events with riverfront and downtown access guidance.,"Downtown Riverwalk | City Marina Boulevard | Municipal Plaza",https://www.houstontx.gov/public-safety.html
US,TX,tx,San Antonio,san-antonio,America/Chicago,"San Antonio’s Independence Day route planning focuses on riverfront launch zones, downtown gathering points, and coordinated crowd exit paths with early transit communication.","San Antonio Riverwalk corridors | Alamodome and nearby city staging areas | Downtown family-friendly riverfront blocks",https://www.sanantonio.gov/
US,TX,tx,DeSoto,desoto,America/Chicago,DeSoto's official July 4th event page combines family recreation and fireworks planning for two-day celebrations.,"Grimes Park | Aquatic and Recreation Center grounds | Community event streets around downtown",https://www.desototexas.gov/
US,TX,tx,Austin,austin,America/Chicago,"Austin public options combine music, family viewing and municipal transit advisories for holiday crowds.","Zilker Park East | Town Lake Edge | Congress Avenue East Access",https://www.austintexas.gov/
US,TX,tx,Addison,addison,America/Chicago,"Addison's Kaboom Town draws regional crowds, so the city page is most useful for entry, parking, and post-show pickup planning.","Addison Circle Park | Official event viewing areas | Designated remote viewing points",https://addisonkaboomtown.com/
US,TX,tx,College Station,college-station,America/Chicago,College Station's I Heart America event page supports park-based arrival planning and family viewing around Wolf Pen Creek.,"Wolf Pen Creek Park | Signed park lawns | Official activity areas",https://www.cstx.gov/
US,TX,tx,Baytown,baytown,America/Chicago,Baytown's official celebration is a park-based city event with downtown-style parking and family crowd flow.,"Bicentennial Park | Official festival lawns | Signed family viewing areas",https://www.baytown.org/
US,TX,tx,Flower Mound,flower-mound,America/Chicago,"Flower Mound's Independence Fest page is useful for arrival planning, family timing, and entry sequencing.","Grimes Park vicinity | Community event grounds | River-adjacent open areas",https://www.flowermound.gov/
US,TX,tx,Rowlett,rowlett,America/Chicago,"Rowlett’s Fireworks on Main page is a practical guide for crowds, road closures, and city event timing.","Rowlett Community Park | Designated waterfront zones | Official festival access lanes",https://www.rowletttx.gov/
US,TX,tx,Tomball,tomball,America/Chicago,Tomball’s July 4th celebration page supports practical event-window planning and family-friendly route prep.,"City celebration street corridor | Designated firework viewing neighborhoods | Post-event dispersal routes",https://www.tomballtx.gov/
US,TX,tx,Dallas,dallas,America/Chicago,Dallas Independence Day planning around Klyde Warren Park rewards transit-first routes and careful downtown pickup choices.,"Klyde Warren Park lawns | Downtown pedestrian edges | Official park event zones",https://www.klydewarrenpark.org/
US,TX,tx,Midland,midland,America/Chicago,"Midland's Star-Spangled Salute uses downtown activity zones, making parking and heat planning important for families.","Downtown Midland | Official salute activity zones | Open public gathering areas",https://www.midlandtxchamber.com/salute/
US,UT,ut,Provo,provo,America/Denver,"Provo's Stadium of Fire is a ticketed stadium fireworks event where seating, parking, and entry rules matter most.","LaVell Edwards Stadium | Assigned stadium seating | Official festival areas",https://www.freedomfestival.org/event/stadium-of-fire/
US,WA,wa,Seattle,seattle,America/Los_Angeles,"Seattle public 4th of July viewing concentrates around Lake Union, Gas Works Park, and Elliott Bay, with Sound Transit and King County Metro coordinating rerouted service for the evening.","Gas Works Park lawn (Lake Union) | South Lake Union Park | Kerry Park (Queen Anne Hill) | Myrtle Edwards Park (Elliott Bay)",https://seattle.gov/fire
US,WA,wa,Bellevue,bellevue,America/Los_Angeles,Bellevue's Downtown Park hosts a family-focused 4th of July celebration with limited capacity and managed entry windows.,"Bellevue Downtown Park",https://bellevuewa.gov/city-government/departments/fire
